setor;cnae_classe;situacao_cadastral;natureza_juridica;grande_empresa;obrigacoes_acessorias;obrigacao_principal;atuacao_fiscal;analise_comparativa;consistencia;comercio_exterior;conformidade;impacto
01000 - Instituicoes Financeiras e de Seguros;64247;Ativa;Entidades empresariais;Sim;0,9054;1,0000;1,0000;0,6667;0,9849;1;0,9527;Moderado
03000 - Eletricidade;35140;Ativa;Entidades empresariais;Sim;0,9357;0,9855;0,9531;0,6667;0,9377;1;0,9267;Muito Alto
03000 - Eletricidade;35115;Ativa;Entidades empresariais;Sim;0,7426;0,8546;1,0000;0,6667;0,893;0,8263;0,874;Muito Alto
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9938;0,7995;0,8900;0,6667;0,8905;1;0,8783;Moderado
02000 - Petroleo e Gas;09106;Ativa;Entidades empresariais;Sim;0,8450;0,9422;0,9933;0,5528;0,9467;0,8136;0,8963;Muito Alto
08000 - Transporte Terrestre e Logistica;49213;Ativa;Entidades empresariais;Sim;0,9761;0,9999;1,0000;0,4845;0,5862;1;0,8219;Baixo
02004 - Fabricacao de Borracha;22111;Ativa;Entidades empresariais;Sim;0,9572;0,9904;0,9932;0,6667;0,7638;0,8992;0,8784;Muito Alto
06001 - Producao e comercio agricola;46320;Ativa;Entidades empresariais;Sim;0,9963;0,9851;0,9867;0,5556;0,6554;1;0,8463;Alto
01000 - Instituicoes Financeiras e de Seguros;64247;Ativa;Entidades empresariais;Sim;0,8494;0,9999;1,0000;0,4444;0,943;1;0,9123;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;74901;Ativa;Entidades empresariais;Sim;0,9753;0,8891;0,9933;0,4595;0,7049;1;0,8398;Muito Baixo
04000 - Telecomunicacoes;61108;Ativa;Entidades empresariais;Sim;0,7996;0,9079;1,0000;0,6109;0,946;1;0,9138;Moderado
08001 - Automoveis;29441;Ativa;Entidades empresariais;Sim;0,9684;0,9844;1,0000;0,4444;0,9524;0,8082;0,9059;Baixo
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,8572;0,8448;1,0000;0,4940;0,6521;1;0,8121;Muito Alto
10001 - Textil;14126;Ativa;Entidades empresariais;Sim;0,8379;0,8185;1,0000;0,4444;0,6975;0,8074;0,7964;Alto
02003 - Combustivel;46826;Ativa;Entidades empresariais;Sim;0,9647;0,7105;1,0000;0,4444;0,6756;1;0,8089;Alto
02004 - Fabricacao de Borracha;22293;Ativa;Entidades empresariais;Sim;0,9222;0,9524;1,0000;0,5556;0,6136;0,8938;0,8155;Baixo
11006 - Vigilancia, seguranca e investigacao - Servicos;80129;Ativa;Entidades empresariais;Sim;0,9422;0,6548;1,0000;0,2222;0,506;1;0,7268;Muito Baixo
08001 - Automoveis;29492;Ativa;Entidades empresariais;Sim;0,9700;0,7661;1,0000;0,4444;0,877;1;0,8765;Moderado
02006 - Defensivos agricolas, adubos e fertilizantes;46834;Ativa;Entidades empresariais;Sim;0,9374;0,7981;0,8000;0,4444;0,8651;1;0,8175;Alto
05002 - Cimento, ceramicas e revestimentos;23427;Ativa;Entidades empresariais;Sim;0,9591;0,9127;1,0000;0,4444;0,6613;0,7089;0,7992;Alto
07000 - Comercio em Geral;46923;Ativa;Entidades empresariais;Sim;0,9491;0,7845;0,8667;0,5664;0,8819;0,7555;0,8285;Muito Alto
05002 - Cimento, ceramicas e revestimentos;23303;Ativa;Entidades empresariais;Sim;0,6574;0,8350;0,9881;0,5687;0,941;0,7591;0,8577;Moderado
06003 - Pecuaria, carnes, leites e derivados;10520;Ativa;Entidades empresariais;Sim;0,9348;0,7519;0,8583;0,5556;0,8897;0,8122;0,8277;Muito Alto
07002 - Varejistas;47831;Ativa;Entidades empresariais;Sim;0,9903;0,6782;0,8967;0,4444;0,8712;1;0,8373;Moderado
10003 - Bens de Capital;28330;Ativa;Entidades empresariais;Sim;0,9364;0,9331;0,7961;0,4444;0,6036;0,8154;0,7356;Alto
10004 - Papel e Celulose;17311;Ativa;Entidades empresariais;Sim;0,9898;0,9705;0,9324;0,6667;0,8562;0,8228;0,8823;Moderado
06004 - Alimentos Processados;10937;Ativa;Entidades empresariais;Sim;0,8691;0,9886;0,9722;0,6320;0,9469;0,8003;0,9051;Alto
04001 - Tecnologia (Software e Comercio);46516;Ativa;Entidades empresariais;Sim;0,8782;0,6089;0,7471;0,4444;0,7351;0,8431;0,7194;Alto
01000 - Instituicoes Financeiras e de Seguros;65111;Ativa;Entidades empresariais;Sim;0,8824;0,8877;1,0000;0,4444;0,9159;1;0,894;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;64921;Ativa;Entidades empresariais;Sim;0,9852;0,8754;1,0000;0,4679;0,8968;1;0,8994;Muito Alto
09001 - Educacao;85317;Ativa;Entidades empresariais;Sim;0,9312;0,9823;0,9900;0,6667;0,4903;1;0,802;Baixo
02006 - Defensivos agricolas, adubos e fertilizantes;20134;Ativa;Entidades empresariais;Sim;0,9767;0,7283;0,8494;0,5556;0,6323;0,8328;0,7514;Alto
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,9851;0,8100;1,0000;0,4444;0,9109;1;0,8934;Alto
04003 - Imprensa e Cultura;60217;Ativa;Entidades empresariais;Sim;0,8288;0,4781;0,5667;0,4444;0,7611;0,6929;0,641;Moderado
04000 - Telecomunicacoes;42219;Ativa;Entidades empresariais;Sim;0,8891;0,4208;0,5908;0,5556;0,6449;1;0,6539;Muito Alto
08001 - Automoveis;29492;Ativa;Entidades empresariais;Sim;0,6386;0,8360;0,7112;0,6667;0,8977;0,8387;0,7832;Muito Alto
08002 - Transporte Aereo e Gestao de Aeroportos;51129;Ativa;Entidades empresariais;Sim;0,9814;0,9267;0,9900;0,6667;0,6927;0,743;0,8353;Muito Baixo
01000 - Instituicoes Financeiras e de Seguros;64611;Ativa;Entidades empresariais;Sim;0,9344;0,8047;0,8772;0,4444;0,9821;1;0,8747;Muito Alto
03002 - agua e Esgoto;36006;Ativa;Entidades empresariais;Sim;0,9973;0,9714;0,8000;0,6657;0,9885;1;0,9034;Baixo
03002 - agua e Esgoto;36006;Ativa;Entidades empresariais;Sim;0,9582;0,9999;0,7667;0,6057;0,9841;1;0,8863;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;64999;Ativa;Entidades empresariais;Sim;0,9717;0,9993;1,0000;0,6188;0,9315;1;0,9384;Moderado
03004 - Construcao - Obras de Infra-estrutura;42111;Ativa;Entidades empresariais;Sim;0,7308;0,9041;0,7967;0,5410;0,9262;1;0,8366;Baixo
07002 - Varejistas;47547;Ativa;Entidades empresariais;Sim;0,8159;0,6173;0,7667;0,4444;0,8294;0,9524;0,7588;Moderado
08001 - Automoveis;82113;Ativa;Entidades empresariais;Sim;0,8793;0,8892;0,8944;0,6660;0,5511;0,8549;0,7625;Muito Alto
09000 - Saude;86402;Ativa;Entidades empresariais;Sim;0,9550;0,7960;0,9500;0,5556;0,901;1;0,8829;Alto
06003 - Pecuaria, carnes, leites e derivados;10112;Ativa;Entidades empresariais;Sim;0,8866;0,5816;0,7197;0,4444;0,8482;0,7621;0,7351;Muito Alto
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9868;0,9574;0,8000;0,6563;0,8062;1;0,8451;Moderado
06002 - Turismo, Hotelaria e Lazer;79112;Ativa;Entidades empresariais;Sim;0,8799;0,9167;1,0000;0,4444;0,6379;1;0,8138;Muito Baixo
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9588;0,9977;1,0000;0,4444;0,6046;1;0,8214;Baixo
06001 - Producao e comercio agricola;46231;Ativa;Entidades empresariais;Sim;0,9164;0,8302;1,0000;0,4515;0,8423;1;0,8691;Alto
10002 - Bens de Capital - Comercio e Servicos;46699;Ativa;Entidades empresariais;Sim;0,9666;0,9457;0,7936;0,6667;0,5401;0,7373;0,7348;Moderado
05001 - Metalurgia e Siderurgia;24318;Ativa;Entidades empresariais;Sim;0,9860;0,9271;1,0000;0,6667;0,9165;0,8557;0,917;Alto
07003 - Cosmetico e Perfumaria;20631;Ativa;Entidades empresariais;Sim;1,0000;0,9781;0,9667;0,6667;0,9204;0,716;0,9024;Baixo
02004 - Fabricacao de Borracha;22226;Ativa;Entidades empresariais;Sim;0,9576;0,8287;0,9340;0,5556;0,8705;0,8385;0,8573;Alto
11004 - Atividades Imobiliarias, Shopping Center;68102;Ativa;Entidades empresariais;Sim;1,0000;1,0000;1,0000;0,4444;0,9965;1;0,9434;Muito Alto
10003 - Bens de Capital;27333;Ativa;Entidades empresariais;Sim;0,9413;0,8439;0,8616;0,6667;0,8763;0,8127;0,8475;Alto
07000 - Comercio em Geral;82997;Ativa;Entidades empresariais;Sim;0,9983;0,9963;0,9758;0,4444;0,6518;1;0,8326;Baixo
07001 - Supermercados;47113;Ativa;Entidades empresariais;Sim;0,9227;0,8470;1,0000;0,5556;0,5394;1;0,7913;Moderado
11003 - Atividades profissionais, cientificas e tecnicas;70204;Ativa;Entidades empresariais;Sim;0,9496;0,9969;1,0000;0,6667;0,9661;0,9286;0,9439;Muito Alto
08004 - Pedagios;52214;Ativa;Entidades empresariais;Sim;0,9492;0,9280;1,0000;0,6667;0,6935;1;0,861;Alto
07003 - Cosmetico e Perfumaria;46460;Ativa;Entidades empresariais;Sim;0,8626;0,9977;0,8697;0,6667;0,8105;0,8063;0,84;Baixo
11003 - Atividades profissionais, cientificas e tecnicas;70204;Ativa;Entidades empresariais;Sim;0,7753;0,9643;0,9099;0,5944;0,9015;0,9286;0,8708;Muito Alto
07001 - Supermercados;46371;Ativa;Entidades empresariais;Sim;0,9255;0,8564;0,8667;0,6667;0,3859;0,7696;0,6974;Baixo
06004 - Alimentos Processados;64620;Ativa;Entidades empresariais;Sim;0,9633;0,9908;1,0000;0,5039;0,6756;1;0,8483;Baixo
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9808;0,9052;1,0000;0,4444;0,3063;1;0,723;Baixo
08000 - Transporte Terrestre e Logistica;49302;Ativa;Entidades empresariais;Sim;0,9086;0,9340;0,9767;0,4444;0,7361;0,8229;0,824;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;66126;Ativa;Entidades empresariais;Sim;0,9125;0,9997;0,8161;0,5932;0,9504;1;0,8842;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;64361;Ativa;Entidades empresariais;Sim;0,9746;0,9989;0,9595;0,5556;0,7711;1;0,8729;Muito Alto
03000 - Eletricidade;35115;Ativa;Entidades empresariais;Sim;1,0000;0,7147;1,0000;0,4444;1;1;0,9102;Alto
09000 - Saude;86101;Ativa;Entidades empresariais;Sim;0,9301;0,9249;1,0000;0,4530;0,682;1;0,8339;Baixo
07001 - Supermercados;64620;Ativa;Entidades empresariais;Sim;0,9866;0,9999;0,9267;0,4444;0,9014;0,8684;0,8798;Alto
10002 - Bens de Capital - Comercio e Servicos;46613;Ativa;Entidades empresariais;Sim;0,9689;0,9329;1,0000;0,4444;0,5839;1;0,8084;Muito Baixo
05004 - Fabricacao e comercio de prod. de metal;25420;Ativa;Entidades empresariais;Sim;0,9850;0,8837;0,8758;0,4444;0,9723;0,8563;0,8715;Baixo
06001 - Producao e comercio agricola;46222;Ativa;Entidades empresariais;Sim;0,9511;0,7821;0,9407;0,4933;0,6508;0,8148;0,7784;Alto
08004 - Pedagios;52214;Ativa;Entidades empresariais;Sim;0,8765;0,9958;1,0000;0,4444;0,9633;1;0,9206;Moderado
08004 - Pedagios;52214;Ativa;Entidades empresariais;Sim;0,9877;0,9994;0,9267;0,6372;0,9613;1;0,9303;Muito Alto
08004 - Pedagios;52214;Ativa;Entidades empresariais;Sim;0,9838;0,9898;0,7407;0,4444;0,9493;0,8934;0,8431;Muito Alto
08004 - Pedagios;52214;Ativa;Entidades empresariais;Sim;0,9736;0,9535;0,9933;0,4444;0,8879;1;0,9007;Baixo
06002 - Turismo, Hotelaria e Lazer;55108;Ativa;Entidades empresariais;Sim;0,7341;0,9758;0,9166;0,6667;0,2865;0,9286;0,6926;Muito Alto
06003 - Pecuaria, carnes, leites e derivados;10112;Ativa;Entidades empresariais;Sim;0,9996;0,8137;0,8243;0,6667;0,6556;1;0,7918;Baixo
10002 - Bens de Capital - Comercio e Servicos;46613;Ativa;Entidades empresariais;Sim;0,9805;0,8284;0,9267;0,4831;0,6837;1;0,8104;Baixo
08004 - Pedagios;52214;Ativa;Entidades empresariais;Sim;0,9584;0,9937;0,9567;0,4444;0,9691;1;0,9181;Moderado
08000 - Transporte Terrestre e Logistica;46397;Ativa;Entidades empresariais;Sim;0,9449;0,8329;1,0000;0,6667;0,6149;0,8571;0,8113;Alto
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9434;0,9881;0,9867;0,6667;0,8955;1;0,9245;Alto
08001 - Automoveis;29492;Ativa;Entidades empresariais;Sim;0,7899;0,9927;0,9900;0,6667;0,9144;0,7867;0,895;Alto
05004 - Fabricacao e comercio de prod. de metal;25993;Ativa;Entidades empresariais;Sim;0,9626;0,8882;0,6567;0,6667;0,669;0,8218;0,7363;Muito Alto
06004 - Alimentos Processados;10813;Ativa;Entidades empresariais;Sim;0,9839;1,0000;1,0000;0,6667;0,969;0,9375;0,9495;Moderado
08001 - Automoveis;29450;Ativa;Entidades empresariais;Sim;0,8904;0,9998;0,9560;0,6464;0,6338;0,8278;0,8143;Moderado
04000 - Telecomunicacoes;61108;Ativa;Entidades empresariais;Sim;0,7989;1,0000;0,7591;0,6667;0,7936;1;0,8172;Baixo
08001 - Automoveis;29492;Ativa;Entidades empresariais;Sim;0,8417;0,9390;1,0000;0,6667;0,9225;0,8456;0,9048;Alto
09001 - Educacao;85317;Ativa;Entidades empresariais;Sim;0,9314;0,8539;0,9667;0,6667;0,8388;1;0,8846;Alto
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,9861;0,9763;1,0000;0,4444;0,6675;1;0,8405;Moderado
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9880;0,9937;1,0000;0,6667;0,7012;1;0,8751;Baixo
11006 - Vigilancia, seguranca e investigacao - Servicos;80111;Ativa;Entidades empresariais;Sim;0,9375;0,8558;1,0000;0,6667;0,6126;1;0,8269;Moderado
08000 - Transporte Terrestre e Logistica;52117;Ativa;Entidades empresariais;Sim;1,0000;0,7086;1,0000;0,2222;0,6191;1;0,773;Muito Baixo
01000 - Instituicoes Financeiras e de Seguros;64999;Ativa;Entidades empresariais;Sim;0,9740;1,0000;1,0000;0,6667;0,7052;1;0,8756;Muito Baixo
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,8505;0,9713;1,0000;0,4599;0,6585;1;0,8251;Baixo
02000 - Petroleo e Gas;06000;Ativa;Entidades empresariais;Sim;0,9250;0,9833;0,9629;0,4444;0,9558;0,8457;0,8959;Muito Alto
02004 - Fabricacao de Borracha;22293;Ativa;Entidades empresariais;Sim;0,8356;0,6040;0,7867;0,4444;0,8155;0,8917;0,7546;Alto
08005 - Outros Veiculos;30911;Ativa;Entidades empresariais;Sim;0,8402;0,9998;0,9900;0,5953;0,9353;0,7914;0,9005;Moderado
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,6621;0,7356;0,7667;0,4444;0,8068;1;0,7556;Muito Alto
10002 - Bens de Capital - Comercio e Servicos;33163;Ativa;Entidades empresariais;Sim;0,9628;0,9837;0,9933;0,6667;0,6474;0,7765;0,831;Muito Baixo
06003 - Pecuaria, carnes, leites e derivados;10201;Ativa;Entidades empresariais;Sim;0,9420;0,8493;0,9501;0,4444;0,9391;0,8207;0,8704;Muito Alto
02008 - Comercio varejista de combustiveis;47318;Ativa;Entidades empresariais;Sim;0,9347;0,9925;1,0000;0,6667;0,907;1;0,9313;Alto
08000 - Transporte Terrestre e Logistica;49116;Ativa;Entidades empresariais;Sim;1,0000;0,9503;0,9900;0,5556;0,6072;1;0,829;Muito Baixo
11008 - Servicos de Locacao;77390;Ativa;Entidades empresariais;Sim;0,8951;0,9968;0,9758;0,6667;0,8896;0,5279;0,8687;Alto
02007 - Quimicos - Comercio;46842;Ativa;Entidades empresariais;Sim;0,9370;0,9951;1,0000;0,6667;0,9226;0,8682;0,9234;Moderado
09000 - Saude;86101;Ativa;Entidades empresariais;Sim;0,7913;0,9506;0,9558;0,6667;0,7889;1;0,8642;Muito Alto
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,8476;0,6943;0,9000;0,6667;0,5912;1;0,7641;Alto
11008 - Servicos de Locacao;77110;Ativa;Entidades empresariais;Sim;0,8374;0,9713;0,9457;0,6667;0,3544;1;0,7381;Muito Alto
10004 - Papel e Celulose;17427;Ativa;Entidades empresariais;Sim;0,9294;0,9103;0,8478;0,6667;0,8186;0,79;0,8308;Muito Alto
02006 - Defensivos agricolas, adubos e fertilizantes;20517;Ativa;Entidades empresariais;Sim;0,9283;0,9180;0,9039;0,4444;0,9616;0,7097;0,86;Muito Alto
03000 - Eletricidade;35115;Ativa;Entidades empresariais;Sim;0,9875;0,9674;0,9733;0,4846;0,9475;1;0,9201;Moderado
06000 - Bebidas - Alcoolicas;11119;Ativa;Entidades empresariais;Sim;0,9741;0,9927;0,9360;0,4444;0,8255;0,7474;0,8454;Baixo
08001 - Automoveis;29492;Ativa;Entidades empresariais;Sim;0,9767;0,9226;1,0000;0,4444;0,8392;0,7731;0,8619;Alto
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,9786;0,8459;1,0000;0,4444;0,6167;1;0,8088;Muito Alto
08001 - Automoveis;29301;Ativa;Entidades empresariais;Sim;0,9651;0,9425;0,8573;0,6667;0,7635;0,7944;0,8248;Moderado
03000 - Eletricidade;35140;Ativa;Entidades empresariais;Sim;0,8994;0,9184;0,9224;0,6667;0,9485;0,7857;0,8882;Muito Alto
03000 - Eletricidade;35115;Ativa;Entidades empresariais;Sim;0,8931;0,9446;1,0000;0,6667;0,8923;1;0,917;Muito Alto
02000 - Petroleo e Gas;06000;Ativa;Entidades empresariais;Sim;0,9802;0,8536;0,8000;0,6667;0,6126;0,802;0,7551;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;66304;Ativa;Entidades empresariais;Sim;0,9853;1,0000;1,0000;0,6667;0,9913;1;0,9626;Muito Alto
07002 - Varejistas;47636;Ativa;Entidades empresariais;Sim;0,7372;0,8911;1,0000;0,5556;0,8288;0,9703;0,8619;Muito Alto
10004 - Papel e Celulose;02101;Ativa;Entidades empresariais;Sim;0,9529;0,3154;0,8482;0,4444;0,7887;0,7616;0,7278;Moderado
09000 - Saude;86909;Ativa;Entidades sem fins lucrativos;Sim;0,7556;1,0000;1,0000;0,6667;0,9167;1;0,9172;Moderado
01000 - Instituicoes Financeiras e de Seguros;64620;Ativa;Entidades empresariais;Sim;0,9950;0,7132;0,9933;0,4444;0,5913;1;0,785;Baixo
08000 - Transporte Terrestre e Logistica;49213;Ativa;Entidades empresariais;Sim;0,9464;0,7105;1,0000;0,4444;0,5055;1;0,756;Muito Baixo
03000 - Eletricidade;35140;Ativa;Entidades empresariais;Sim;0,9202;0,9409;0,8424;0,5987;0,9422;1;0,8833;Muito Alto
02006 - Defensivos agricolas, adubos e fertilizantes;46834;Ativa;Entidades empresariais;Sim;0,7885;0,8380;0,7571;0,6667;0,8249;0,7053;0,7761;Muito Alto
06004 - Alimentos Processados;10996;Ativa;Entidades empresariais;Sim;0,8788;0,9429;0,8160;0,4444;0,935;0,7639;0,8308;Alto
01000 - Instituicoes Financeiras e de Seguros;66126;Ativa;Entidades empresariais;Sim;0,8269;0,9343;0,9542;0,6667;0,9297;1;0,9076;Muito Alto
06001 - Producao e comercio agricola;82113;Ativa;Entidades empresariais;Sim;0,6725;0,8204;0,9233;0,5556;0,8068;0,7845;0,8003;Muito Alto
10002 - Bens de Capital - Comercio e Servicos;46699;Ativa;Entidades empresariais;Sim;0,6484;0,9894;0,8629;0,6667;0,8857;0,7617;0,8337;Muito Alto
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9256;0,9752;1,0000;0,4444;0,5289;1;0,7927;Baixo
04001 - Tecnologia (Software e Comercio);47512;Ativa;Entidades empresariais;Sim;0,9804;0,9161;1,0000;0,4444;0,6329;0,8769;0,81;Moderado
06004 - Alimentos Processados;10333;Ativa;Entidades empresariais;Sim;0,9608;0,6155;0,9758;0,4444;0,8572;0,7774;0,8225;Baixo
11006 - Vigilancia, seguranca e investigacao - Servicos;80200;Ativa;Entidades empresariais;Sim;0,9509;0,9314;1,0000;0,4444;0,499;0,8657;0,7676;Muito Baixo
02001 - Quimicos - Fabricacao;20291;Ativa;Entidades empresariais;Sim;0,9839;0,9269;1,0000;0,4444;0,9806;0,8025;0,9085;Baixo
03000 - Eletricidade;35140;Ativa;Entidades empresariais;Sim;0,6128;0,9525;0,6233;0,5556;0,8344;1;0,756;Muito Alto
03000 - Eletricidade;35140;Ativa;Entidades empresariais;Sim;0,7619;0,8363;1,0000;0,4444;0,7431;0,9405;0,818;Alto
10001 - Textil;13111;Ativa;Entidades empresariais;Sim;0,9694;0,9601;0,8617;0,6667;0,877;0,916;0,8748;Alto
09001 - Educacao;82113;Ativa;Entidades empresariais;Sim;0,8974;0,9677;1,0000;0,6667;0,8972;1;0,9217;Moderado
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9547;0,9892;0,9334;0,5556;0,6498;1;0,826;Alto
02007 - Quimicos - Comercio;23991;Ativa;Entidades empresariais;Sim;0,9131;0,8649;1,0000;0,4444;0,6538;0,8679;0,8025;Muito Alto
08000 - Transporte Terrestre e Logistica;49302;Ativa;Entidades empresariais;Sim;0,9552;0,8939;1,0000;0,6667;0,6854;1;0,8551;Muito Alto
04001 - Tecnologia (Software e Comercio);63119;Ativa;Entidades empresariais;Sim;0,8909;0,9721;1,0000;0,6667;0,9128;1;0,9263;Alto
03000 - Eletricidade;64620;Ativa;Entidades empresariais;Sim;0,9848;0,8532;1,0000;0,4444;1;1;0,9253;Baixo
05002 - Cimento, ceramicas e revestimentos;23427;Ativa;Entidades empresariais;Sim;0,9752;0,5175;0,9300;0,4444;0,85;0,5207;0,7715;Moderado
05000 - Mineracao;07103;Ativa;Entidades empresariais;Sim;0,8047;0,6794;0,7950;0,5556;0,8571;0,843;0,7816;Muito Alto
11006 - Vigilancia, seguranca e investigacao - Servicos;80111;Ativa;Entidades empresariais;Sim;0,8668;0,7492;0,9833;0,6667;0,4623;1;0,7573;Muito Baixo
10004 - Papel e Celulose;17214;Ativa;Entidades empresariais;Sim;0,9058;0,7692;1,0000;0,5610;0,8338;0,8278;0,8519;Alto
11000 - Teleatendimento e Selecao, agenciamento e locacao de mao de obra;78205;Ativa;Entidades empresariais;Sim;0,9575;0,7703;1,0000;0,6667;0,5512;1;0,8002;Alto
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,9647;1,0000;1,0000;0,4444;0,9881;1;0,9373;Alto
03004 - Construcao - Obras de Infra-estrutura;64620;Ativa;Entidades empresariais;Sim;1,0000;0,8363;1,0000;0,4444;0,8889;1;0,8915;Moderado
08003 - Transporte Maritimo;52311;Ativa;Entidades empresariais;Sim;0,9497;0,7135;0,9933;0,4444;0,5629;0,872;0,7592;Alto
08003 - Transporte Maritimo;52311;Ativa;Entidades empresariais;Sim;0,9645;0,8462;0,9894;0,6667;0,8452;0,7091;0,8662;Moderado
08000 - Transporte Terrestre e Logistica;82113;Ativa;Entidades empresariais;Sim;0,7136;1,0000;1,0000;0,4444;0,4286;1;0,7444;Alto
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,9304;0,8248;0,8667;0,5556;0,9141;0,8889;0,8534;Muito Alto
08003 - Transporte Maritimo;52320;Ativa;Entidades empresariais;Sim;0,6805;0,9156;0,8895;0,4444;0,946;0,677;0,8229;Alto
03002 - agua e Esgoto;36006;Ativa;Entidades empresariais;Sim;0,9892;0,9971;0,8967;0,6667;0,9587;1;0,9239;Alto
10001 - Textil;46931;Ativa;Entidades empresariais;Sim;0,8740;1,0000;0,7667;0,6667;0,7698;0,8189;0,8016;Alto
09000 - Saude;84116;Ativa;Entidades sem fins lucrativos;Sim;0,9111;0,9868;0,8833;0,4444;0,9651;0,7942;0,8702;Muito Baixo
03005 - Construcao - Servicos;81117;Ativa;Entidades empresariais;Sim;0,9310;0,8646;0,9833;0,5393;0,6363;1;0,817;Moderado
08000 - Transporte Terrestre e Logistica;64620;Ativa;Entidades empresariais;Sim;0,9851;0,9448;0,7875;0,5556;0,9544;1;0,8743;Muito Alto
08003 - Transporte Maritimo;52311;Ativa;Entidades empresariais;Sim;0,9384;0,8760;0,8903;0,5874;0,9438;0,6754;0,8577;Moderado
09001 - Educacao;85325;Ativa;Entidades empresariais;Sim;0,9799;0,9998;0,9390;0,6667;0,6292;1;0,8363;Muito Baixo
08003 - Transporte Maritimo;52311;Ativa;Entidades empresariais;Sim;0,9545;0,9692;0,8776;0,4444;0,8552;0,804;0,8389;Moderado
03000 - Eletricidade;35115;Ativa;Entidades empresariais;Sim;0,7385;0,8931;0,9733;0,4444;0,9295;1;0,8768;Moderado
07001 - Supermercados;47113;Ativa;Entidades empresariais;Sim;0,9607;0,8747;0,8667;0,4444;0,5678;1;0,7585;Moderado
01000 - Instituicoes Financeiras e de Seguros;64247;Ativa;Entidades empresariais;Sim;0,9991;0,9643;1,0000;0,5668;0,67;1;0,8533;Alto
08001 - Automoveis;29492;Ativa;Entidades empresariais;Sim;0,9495;0,7923;0,9115;0,6667;0,5944;0,7154;0,7618;Moderado
01002 - Planos de Saude;65502;Ativa;Entidades empresariais;Sim;0,8148;0,9531;1,0000;0,6667;0,7475;1;0,8668;Alto
04001 - Tecnologia (Software e Comercio);62091;Ativa;Entidades empresariais;Sim;0,9912;1,0000;0,8667;0,6667;0,6245;0,9286;0,8087;Baixo
02005 - Sucroalcooleiro;10716;Ativa;Entidades empresariais;Sim;0,9785;0,5965;0,5922;0,4444;0,7341;1;0,6999;Alto
08004 - Pedagios;52214;Ativa;Entidades empresariais;Sim;0,9253;1,0000;1,0000;0,6645;0,949;0,9006;0,9337;Muito Alto
11007 - Igrejas e Associacoes;94910;Ativa;Entidades sem fins lucrativos;Sim;0,8504;0,8480;0,7917;0,4444;0,718;1;0,7683;Alto
01000 - Instituicoes Financeiras e de Seguros;64611;Ativa;Entidades empresariais;Sim;0,7620;0,9997;1,0000;0,4619;0,581;1;0,7967;Baixo
08004 - Pedagios;52214;Ativa;Entidades empresariais;Sim;1,0000;0,9959;1,0000;0,6401;0,9702;1;0,9546;Muito Alto
06002 - Turismo, Hotelaria e Lazer;55108;Ativa;Entidades empresariais;Sim;0,7730;0,9998;1,0000;0,4444;0,9762;1;0,9146;Moderado
04000 - Telecomunicacoes;61108;Ativa;Entidades empresariais;Sim;0,8603;0,8348;1,0000;0,6667;0,9506;1;0,9181;Muito Alto
06000 - Bebidas - Alcoolicas;46354;Ativa;Entidades empresariais;Sim;0,6452;0,5973;1,0000;0,1111;0,5833;1;0,7023;Muito Baixo
11006 - Vigilancia, seguranca e investigacao - Servicos;80111;Ativa;Entidades empresariais;Sim;0,8930;0,5271;0,8851;0,2222;0,8433;1;0,7756;Moderado
08003 - Transporte Maritimo;50114;Ativa;Entidades empresariais;Sim;0,9316;0,9971;0,9479;0,6667;0,9239;0,7522;0,8973;Muito Alto
06000 - Bebidas - Alcoolicas;46354;Ativa;Entidades empresariais;Sim;0,8927;0,7177;1,0000;0,5556;0,3986;1;0,7305;Baixo
03000 - Eletricidade;64620;Ativa;Entidades empresariais;Sim;0,9532;0,9928;1,0000;0,5556;0,9037;1;0,9211;Muito Alto
02004 - Fabricacao de Borracha;22218;Ativa;Entidades empresariais;Sim;0,8930;0,9914;0,9811;0,6667;0,7044;0,8537;0,8463;Alto
